/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-104.maverick2.tacc.utexas.edu
Mon Oct 24 13:02:32 CDT 2022
start training tiramisu 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10000
2022-10-24 13:05:41.680906 epoch 1: loss: 0.02640 | coarse loss: 0.02118
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 17:12:09.133891 epoch 94: loss: 0.00804 | coarse loss: 0.02118
2022-10-24 17:14:48.064036 epoch 95: loss: 0.00802 | coarse loss: 0.02118
2022-10-24 17:17:26.994994 epoch 96: loss: 0.00805 | coarse loss: 0.02118
2022-10-24 17:20:06.037861 epoch 97: loss: 0.00805 | coarse loss: 0.02118
2022-10-24 17:22:44.637791 epoch 98: loss: 0.00808 | coarse loss: 0.02118
2022-10-24 17:25:23.620880 epoch 99: loss: 0.00795 | coarse loss: 0.02118
2022-10-24 17:28:02.244278 epoch 100: loss: 0.00798 | coarse loss: 0.02118
2022-10-24 17:30:40.887715 epoch 101: loss: 0.00808 | coarse loss: 0.02118
2022-10-24 17:33:19.603929 epoch 102: loss: 0.00804 | coarse loss: 0.02118
2022-10-24 17:35:58.937942 epoch 103: loss: 0.00793 | coarse loss: 0.02118
2022-10-24 17:38:37.722021 epoch 104: loss: 0.00797 | coarse loss: 0.02118
2022-10-24 17:41:16.667599 epoch 105: loss: 0.00810 | coarse loss: 0.02118
2022-10-24 17:43:55.742217 epoch 106: loss: 0.00796 | coarse loss: 0.02118
2022-10-24 17:46:34.743750 epoch 107: loss: 0.00787 | coarse loss: 0.02118
2022-10-24 17:49:13.544099 epoch 108: loss: 0.00817 | coarse loss: 0.02118
2022-10-24 17:51:52.218899 epoch 109: loss: 0.00787 | coarse loss: 0.02118
2022-10-24 17:54:30.855097 epoch 110: loss: 0.00789 | coarse loss: 0.02118
2022-10-24 17:57:09.488313 epoch 111: loss: 0.00789 | coarse loss: 0.02118
2022-10-24 17:59:48.336750 epoch 112: loss: 0.00791 | coarse loss: 0.02118
2022-10-24 18:02:27.005556 epoch 113: loss: 0.00795 | coarse loss: 0.02118
2022-10-24 18:05:05.696669 epoch 114: loss: 0.00790 | coarse loss: 0.02118
2022-10-24 18:07:44.694926 epoch 115: loss: 0.00794 | coarse loss: 0.02118
2022-10-24 18:10:23.940017 epoch 116: loss: 0.00798 | coarse loss: 0.02118
2022-10-24 18:13:02.702411 epoch 117: loss: 0.00792 | coarse loss: 0.02118
2022-10-24 18:15:41.758836 epoch 118: loss: 0.00788 | coarse loss: 0.02118
2022-10-24 18:18:20.524498 epoch 119: loss: 0.00788 | coarse loss: 0.02118
2022-10-24 18:20:59.196184 epoch 120: loss: 0.00790 | coarse loss: 0.02118
2022-10-24 18:23:37.818835 epoch 121: loss: 0.00786 | coarse loss: 0.02118
2022-10-24 18:26:17.115826 epoch 122: loss: 0.00789 | coarse loss: 0.02118
2022-10-24 18:28:56.080799 epoch 123: loss: 0.00796 | coarse loss: 0.02118
2022-10-24 18:31:35.260797 epoch 124: loss: 0.00790 | coarse loss: 0.02118
2022-10-24 18:34:14.504071 epoch 125: loss: 0.00783 | coarse loss: 0.02118
2022-10-24 18:36:53.638519 epoch 126: loss: 0.00780 | coarse loss: 0.02118
2022-10-24 18:39:32.670715 epoch 127: loss: 0.00785 | coarse loss: 0.02118
2022-10-24 18:42:11.563374 epoch 128: loss: 0.00783 | coarse loss: 0.02118
2022-10-24 18:44:50.714657 epoch 129: loss: 0.00786 | coarse loss: 0.02118
2022-10-24 18:47:29.809750 epoch 130: loss: 0.00780 | coarse loss: 0.02118
2022-10-24 18:50:08.592322 epoch 131: loss: 0.00788 | coarse loss: 0.02118
2022-10-24 18:52:47.239201 epoch 132: loss: 0.00789 | coarse loss: 0.02118
2022-10-24 18:55:26.780902 epoch 133: loss: 0.00781 | coarse loss: 0.02118
2022-10-24 18:58:05.632546 epoch 134: loss: 0.00786 | coarse loss: 0.02118
2022-10-24 19:00:44.214899 epoch 135: loss: 0.00783 | coarse loss: 0.02118
2022-10-24 19:03:23.605090 epoch 136: loss: 0.00776 | coarse loss: 0.02118
2022-10-24 19:06:02.884954 epoch 137: loss: 0.00777 | coarse loss: 0.02118
2022-10-24 19:08:41.614084 epoch 138: loss: 0.00776 | coarse loss: 0.02118
2022-10-24 19:11:20.230412 epoch 139: loss: 0.00773 | coarse loss: 0.02118
2022-10-24 19:13:59.413855 epoch 140: loss: 0.00778 | coarse loss: 0.02118
2022-10-24 19:16:38.165614 epoch 141: loss: 0.00779 | coarse loss: 0.02118
2022-10-24 19:19:16.820802 epoch 142: loss: 0.00784 | coarse loss: 0.02118
2022-10-24 19:21:55.653642 epoch 143: loss: 0.00775 | coarse loss: 0.02118
2022-10-24 19:24:34.330993 epoch 144: loss: 0.00784 | coarse loss: 0.02118
2022-10-24 19:27:14.192092 epoch 145: loss: 0.00778 | coarse loss: 0.02118
2022-10-24 19:29:53.549323 epoch 146: loss: 0.00775 | coarse loss: 0.02118
2022-10-24 19:32:32.811973 epoch 147: loss: 0.00772 | coarse loss: 0.02118
2022-10-24 19:35:11.573566 epoch 148: loss: 0.00778 | coarse loss: 0.02118
2022-10-24 19:37:50.724384 epoch 149: loss: 0.00779 | coarse loss: 0.02118
2022-10-24 19:40:29.454008 epoch 150: loss: 0.00778 | coarse loss: 0.02118
2022-10-24 19:43:08.887654 epoch 151: loss: 0.00778 | coarse loss: 0.02118
2022-10-24 19:45:48.541088 epoch 152: loss: 0.00772 | coarse loss: 0.02118
2022-10-24 19:48:28.118659 epoch 153: loss: 0.00771 | coarse loss: 0.02118
2022-10-24 19:51:07.890921 epoch 154: loss: 0.00773 | coarse loss: 0.02118
2022-10-24 19:53:47.250158 epoch 155: loss: 0.00777 | coarse loss: 0.02118
2022-10-24 19:56:26.438268 epoch 156: loss: 0.00773 | coarse loss: 0.02118
2022-10-24 19:59:05.617698 epoch 157: loss: 0.00772 | coarse loss: 0.02118
2022-10-24 20:01:44.572517 epoch 158: loss: 0.00772 | coarse loss: 0.02118
2022-10-24 20:04:23.436352 epoch 159: loss: 0.00774 | coarse loss: 0.02118
2022-10-24 20:07:02.318850 epoch 160: loss: 0.00767 | coarse loss: 0.02118
2022-10-24 20:09:41.360911 epoch 161: loss: 0.00771 | coarse loss: 0.02118
2022-10-24 20:12:20.763329 epoch 162: loss: 0.00778 | coarse loss: 0.02118
2022-10-24 20:14:59.566099 epoch 163: loss: 0.00770 | coarse loss: 0.02118
2022-10-24 20:17:38.567614 epoch 164: loss: 0.00773 | coarse loss: 0.02118
2022-10-24 20:20:18.161539 epoch 165: loss: 0.00769 | coarse loss: 0.02118
2022-10-24 20:22:56.983387 epoch 166: loss: 0.00766 | coarse loss: 0.02118
2022-10-24 20:25:35.654273 epoch 167: loss: 0.00774 | coarse loss: 0.02118
2022-10-24 20:28:15.020550 epoch 168: loss: 0.00768 | coarse loss: 0.02118
2022-10-24 20:30:54.530408 epoch 169: loss: 0.00777 | coarse loss: 0.02118
2022-10-24 20:33:34.139013 epoch 170: loss: 0.00775 | coarse loss: 0.02118
2022-10-24 20:36:12.891971 epoch 171: loss: 0.00761 | coarse loss: 0.02118
2022-10-24 20:38:52.202081 epoch 172: loss: 0.00766 | coarse loss: 0.02118
2022-10-24 20:41:31.602617 epoch 173: loss: 0.00765 | coarse loss: 0.02118
2022-10-24 20:44:10.813098 epoch 174: loss: 0.00765 | coarse loss: 0.02118
2022-10-24 20:46:50.063613 epoch 175: loss: 0.00767 | coarse loss: 0.02118
2022-10-24 20:49:28.946479 epoch 176: loss: 0.00768 | coarse loss: 0.02118
2022-10-24 20:52:08.337981 epoch 177: loss: 0.00770 | coarse loss: 0.02118
2022-10-24 20:54:47.204477 epoch 178: loss: 0.00764 | coarse loss: 0.02118
2022-10-24 20:57:26.556181 epoch 179: loss: 0.00772 | coarse loss: 0.02118
2022-10-24 21:00:06.181024 epoch 180: loss: 0.00773 | coarse loss: 0.02118
2022-10-24 21:02:45.326938 epoch 181: loss: 0.00764 | coarse loss: 0.02118
2022-10-24 21:05:24.980356 epoch 182: loss: 0.00760 | coarse loss: 0.02118
2022-10-24 21:08:04.008627 epoch 183: loss: 0.00774 | coarse loss: 0.02118
2022-10-24 21:10:42.726280 epoch 184: loss: 0.00766 | coarse loss: 0.02118
2022-10-24 21:13:21.455704 epoch 185: loss: 0.00769 | coarse loss: 0.02118
2022-10-24 21:16:00.133570 epoch 186: loss: 0.00774 | coarse loss: 0.02118
2022-10-24 21:18:38.889930 epoch 187: loss: 0.00759 | coarse loss: 0.02118
2022-10-24 21:21:18.239385 epoch 188: loss: 0.00762 | coarse loss: 0.02118
2022-10-24 21:23:57.426586 epoch 189: loss: 0.00764 | coarse loss: 0.02118
2022-10-24 21:26:36.726959 epoch 190: loss: 0.00763 | coarse loss: 0.02118
2022-10-24 21:29:16.022525 epoch 191: loss: 0.00763 | coarse loss: 0.02118
2022-10-24 21:31:55.382000 epoch 192: loss: 0.00763 | coarse loss: 0.02118
2022-10-24 21:34:34.221827 epoch 193: loss: 0.00763 | coarse loss: 0.02118
2022-10-24 21:37:13.527376 epoch 194: loss: 0.00761 | coarse loss: 0.02118
2022-10-24 21:39:52.880212 epoch 195: loss: 0.00760 | coarse loss: 0.02118
2022-10-24 21:42:31.735482 epoch 196: loss: 0.00769 | coarse loss: 0.02118
2022-10-24 21:45:10.428747 epoch 197: loss: 0.00764 | coarse loss: 0.02118
