/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Mon Oct 24 17:28:39 CDT 2022
start training unet 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-24 17:29:27.753005 epoch 1: loss: 0.03232 | coarse loss: 0.02113
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 18:04:19.079678 epoch 114: loss: 0.00879 | coarse loss: 0.02115
2022-10-24 18:04:37.612646 epoch 115: loss: 0.00905 | coarse loss: 0.02115
2022-10-24 18:04:56.023527 epoch 116: loss: 0.00867 | coarse loss: 0.02117
2022-10-24 18:05:14.679496 epoch 117: loss: 0.00882 | coarse loss: 0.02121
2022-10-24 18:05:33.097785 epoch 118: loss: 0.00863 | coarse loss: 0.02119
2022-10-24 18:05:51.666701 epoch 119: loss: 0.00869 | coarse loss: 0.02118
2022-10-24 18:06:10.258392 epoch 120: loss: 0.00870 | coarse loss: 0.02115
2022-10-24 18:06:28.818575 epoch 121: loss: 0.00865 | coarse loss: 0.02117
2022-10-24 18:06:47.380680 epoch 122: loss: 0.00865 | coarse loss: 0.02112
2022-10-24 18:07:05.905812 epoch 123: loss: 0.00975 | coarse loss: 0.02116
2022-10-24 18:07:24.575502 epoch 124: loss: 0.00878 | coarse loss: 0.02119
2022-10-24 18:07:43.123156 epoch 125: loss: 0.00870 | coarse loss: 0.02119
2022-10-24 18:08:01.613427 epoch 126: loss: 0.00873 | coarse loss: 0.02113
2022-10-24 18:08:20.000166 epoch 127: loss: 0.00864 | coarse loss: 0.02121
2022-10-24 18:08:38.574068 epoch 128: loss: 0.00859 | coarse loss: 0.02116
2022-10-24 18:08:57.043509 epoch 129: loss: 0.00860 | coarse loss: 0.02123
2022-10-24 18:09:15.530488 epoch 130: loss: 0.00854 | coarse loss: 0.02116
2022-10-24 18:09:34.067200 epoch 131: loss: 0.00880 | coarse loss: 0.02123
2022-10-24 18:09:52.620914 epoch 132: loss: 0.00892 | coarse loss: 0.02118
2022-10-24 18:10:11.120097 epoch 133: loss: 0.00867 | coarse loss: 0.02123
2022-10-24 18:10:29.521929 epoch 134: loss: 0.00857 | coarse loss: 0.02112
2022-10-24 18:10:48.061780 epoch 135: loss: 0.00856 | coarse loss: 0.02117
2022-10-24 18:11:06.549230 epoch 136: loss: 0.00938 | coarse loss: 0.02120
2022-10-24 18:11:25.067985 epoch 137: loss: 0.00862 | coarse loss: 0.02115
2022-10-24 18:11:43.400889 epoch 138: loss: 0.00849 | coarse loss: 0.02113
2022-10-24 18:12:01.866983 epoch 139: loss: 0.00849 | coarse loss: 0.02121
2022-10-24 18:12:20.600633 epoch 140: loss: 0.00847 | coarse loss: 0.02116
2022-10-24 18:12:39.284688 epoch 141: loss: 0.00875 | coarse loss: 0.02114
2022-10-24 18:12:57.875998 epoch 142: loss: 0.00852 | coarse loss: 0.02121
2022-10-24 18:13:16.475164 epoch 143: loss: 0.00844 | coarse loss: 0.02119
2022-10-24 18:13:35.017498 epoch 144: loss: 0.00852 | coarse loss: 0.02114
2022-10-24 18:13:53.549514 epoch 145: loss: 0.00852 | coarse loss: 0.02126
2022-10-24 18:14:12.286898 epoch 146: loss: 0.00850 | coarse loss: 0.02121
2022-10-24 18:14:30.740137 epoch 147: loss: 0.00840 | coarse loss: 0.02113
2022-10-24 18:14:49.269434 epoch 148: loss: 0.00844 | coarse loss: 0.02120
2022-10-24 18:15:07.723309 epoch 149: loss: 0.00847 | coarse loss: 0.02120
2022-10-24 18:15:26.183478 epoch 150: loss: 0.00869 | coarse loss: 0.02113
2022-10-24 18:15:44.699413 epoch 151: loss: 0.00851 | coarse loss: 0.02122
2022-10-24 18:16:03.367446 epoch 152: loss: 0.00840 | coarse loss: 0.02118
2022-10-24 18:16:21.965872 epoch 153: loss: 0.00836 | coarse loss: 0.02112
2022-10-24 18:16:40.379929 epoch 154: loss: 0.00930 | coarse loss: 0.02117
2022-10-24 18:16:58.783591 epoch 155: loss: 0.00906 | coarse loss: 0.02112
2022-10-24 18:17:17.241246 epoch 156: loss: 0.00854 | coarse loss: 0.02120
2022-10-24 18:17:35.684573 epoch 157: loss: 0.00840 | coarse loss: 0.02115
2022-10-24 18:17:54.128574 epoch 158: loss: 0.00839 | coarse loss: 0.02117
2022-10-24 18:18:12.569643 epoch 159: loss: 0.00850 | coarse loss: 0.02116
2022-10-24 18:18:31.067243 epoch 160: loss: 0.00848 | coarse loss: 0.02126
2022-10-24 18:18:49.592441 epoch 161: loss: 0.00847 | coarse loss: 0.02117
2022-10-24 18:19:08.028273 epoch 162: loss: 0.00847 | coarse loss: 0.02120
2022-10-24 18:19:26.616105 epoch 163: loss: 0.00835 | coarse loss: 0.02112
2022-10-24 18:19:45.055449 epoch 164: loss: 0.00837 | coarse loss: 0.02114
2022-10-24 18:20:03.608773 epoch 165: loss: 0.00844 | coarse loss: 0.02117
2022-10-24 18:20:22.222718 epoch 166: loss: 0.00836 | coarse loss: 0.02117
2022-10-24 18:20:40.861959 epoch 167: loss: 0.00843 | coarse loss: 0.02125
2022-10-24 18:20:59.282024 epoch 168: loss: 0.00831 | coarse loss: 0.02117
2022-10-24 18:21:17.770789 epoch 169: loss: 0.00830 | coarse loss: 0.02113
2022-10-24 18:21:36.223342 epoch 170: loss: 0.00845 | coarse loss: 0.02118
2022-10-24 18:21:54.868637 epoch 171: loss: 0.00828 | coarse loss: 0.02116
2022-10-24 18:22:13.450124 epoch 172: loss: 0.00822 | coarse loss: 0.02115
2022-10-24 18:22:32.044682 epoch 173: loss: 0.00996 | coarse loss: 0.02116
2022-10-24 18:22:50.473631 epoch 174: loss: 0.01197 | coarse loss: 0.02116
2022-10-24 18:23:09.217940 epoch 175: loss: 0.00903 | coarse loss: 0.02117
2022-10-24 18:23:27.589080 epoch 176: loss: 0.00862 | coarse loss: 0.02129
2022-10-24 18:23:45.950095 epoch 177: loss: 0.00836 | coarse loss: 0.02120
2022-10-24 18:24:04.420126 epoch 178: loss: 0.00834 | coarse loss: 0.02122
2022-10-24 18:24:22.696386 epoch 179: loss: 0.00825 | coarse loss: 0.02115
2022-10-24 18:24:41.201166 epoch 180: loss: 0.00827 | coarse loss: 0.02116
2022-10-24 18:24:59.814363 epoch 181: loss: 0.00848 | coarse loss: 0.02121
2022-10-24 18:25:18.466879 epoch 182: loss: 0.00825 | coarse loss: 0.02118
2022-10-24 18:25:37.087496 epoch 183: loss: 0.00826 | coarse loss: 0.02119
2022-10-24 18:25:55.685550 epoch 184: loss: 0.00935 | coarse loss: 0.02114
2022-10-24 18:26:14.348519 epoch 185: loss: 0.00852 | coarse loss: 0.02114
2022-10-24 18:26:32.765816 epoch 186: loss: 0.00838 | coarse loss: 0.02117
2022-10-24 18:26:51.234110 epoch 187: loss: 0.00838 | coarse loss: 0.02118
2022-10-24 18:27:09.672082 epoch 188: loss: 0.00915 | coarse loss: 0.02122
2022-10-24 18:27:27.997191 epoch 189: loss: 0.00882 | coarse loss: 0.02115
2022-10-24 18:27:46.424511 epoch 190: loss: 0.00856 | coarse loss: 0.02120
2022-10-24 18:28:05.161926 epoch 191: loss: 0.00836 | coarse loss: 0.02120
2022-10-24 18:28:23.634818 epoch 192: loss: 0.00836 | coarse loss: 0.02119
2022-10-24 18:28:42.236386 epoch 193: loss: 0.00830 | coarse loss: 0.02124
2022-10-24 18:29:00.628888 epoch 194: loss: 0.00826 | coarse loss: 0.02115
2022-10-24 18:29:19.031360 epoch 195: loss: 0.00827 | coarse loss: 0.02117
2022-10-24 18:29:37.394484 epoch 196: loss: 0.00840 | coarse loss: 0.02127
2022-10-24 18:29:55.757788 epoch 197: loss: 0.00827 | coarse loss: 0.02115
2022-10-24 18:30:14.250260 epoch 198: loss: 0.00849 | coarse loss: 0.02116
2022-10-24 18:30:32.543604 epoch 199: loss: 0.00817 | coarse loss: 0.02116
2022-10-24 18:30:51.065441 epoch 200: loss: 0.00818 | coarse loss: 0.02123
2022-10-24 18:31:09.693874 epoch 201: loss: 0.00831 | coarse loss: 0.02117
2022-10-24 18:31:28.350328 epoch 202: loss: 0.00893 | coarse loss: 0.02118
2022-10-24 18:31:46.913664 epoch 203: loss: 0.00855 | coarse loss: 0.02118
2022-10-24 18:32:05.551242 epoch 204: loss: 0.00827 | coarse loss: 0.02121
2022-10-24 18:32:24.057178 epoch 205: loss: 0.00826 | coarse loss: 0.02120
2022-10-24 18:32:42.647557 epoch 206: loss: 0.00823 | coarse loss: 0.02119
2022-10-24 18:33:01.065867 epoch 207: loss: 0.00826 | coarse loss: 0.02116
2022-10-24 18:33:19.697746 epoch 208: loss: 0.00817 | coarse loss: 0.02117
2022-10-24 18:33:38.195663 epoch 209: loss: 0.00814 | coarse loss: 0.02117
2022-10-24 18:33:56.853930 epoch 210: loss: 0.00817 | coarse loss: 0.02118
2022-10-24 18:34:15.353710 epoch 211: loss: 0.00829 | coarse loss: 0.02128
2022-10-24 18:34:33.853543 epoch 212: loss: 0.00818 | coarse loss: 0.02123
2022-10-24 18:34:52.276631 epoch 213: loss: 0.00811 | coarse loss: 0.02115
2022-10-24 18:35:11.064229 epoch 214: loss: 0.00817 | coarse loss: 0.02118
2022-10-24 18:35:29.556382 epoch 215: loss: 0.00832 | coarse loss: 0.02115
2022-10-24 18:35:47.878999 epoch 216: loss: 0.00815 | coarse loss: 0.02111
2022-10-24 18:36:06.325784 epoch 217: loss: 0.00813 | coarse loss: 0.02120
2022-10-24 18:36:24.636763 epoch 218: loss: 0.00816 | coarse loss: 0.02122
2022-10-24 18:36:43.166560 epoch 219: loss: 0.00810 | coarse loss: 0.02116
2022-10-24 18:37:01.611085 epoch 220: loss: 0.00810 | coarse loss: 0.02120
2022-10-24 18:37:20.359099 epoch 221: loss: 0.00819 | coarse loss: 0.02124
2022-10-24 18:37:38.876139 epoch 222: loss: 0.00817 | coarse loss: 0.02122
2022-10-24 18:37:57.498220 epoch 223: loss: 0.00805 | coarse loss: 0.02116
2022-10-24 18:38:16.036718 epoch 224: loss: 0.00815 | coarse loss: 0.02120
2022-10-24 18:38:34.341423 epoch 225: loss: 0.00829 | coarse loss: 0.02118
2022-10-24 18:38:52.664241 epoch 226: loss: 0.00827 | coarse loss: 0.02120
2022-10-24 18:39:10.989803 epoch 227: loss: 0.00820 | coarse loss: 0.02118
2022-10-24 18:39:29.373787 epoch 228: loss: 0.00925 | coarse loss: 0.02121
2022-10-24 18:39:47.723408 epoch 229: loss: 0.00827 | coarse loss: 0.02115
2022-10-24 18:40:06.475360 epoch 230: loss: 0.00864 | coarse loss: 0.02118
2022-10-24 18:40:25.087122 epoch 231: loss: 0.00830 | coarse loss: 0.02113
2022-10-24 18:40:43.633944 epoch 232: loss: 0.00817 | coarse loss: 0.02119
2022-10-24 18:41:02.167723 epoch 233: loss: 0.00806 | coarse loss: 0.02116
2022-10-24 18:41:20.815716 epoch 234: loss: 0.00807 | coarse loss: 0.02114
2022-10-24 18:41:39.338855 epoch 235: loss: 0.00818 | coarse loss: 0.02114
2022-10-24 18:41:57.829204 epoch 236: loss: 0.00806 | coarse loss: 0.02120
2022-10-24 18:42:16.419183 epoch 237: loss: 0.00801 | coarse loss: 0.02115
2022-10-24 18:42:34.835649 epoch 238: loss: 0.00806 | coarse loss: 0.02119
2022-10-24 18:42:53.292671 epoch 239: loss: 0.00856 | coarse loss: 0.02122
2022-10-24 18:43:11.712377 epoch 240: loss: 0.00860 | coarse loss: 0.02119
2022-10-24 18:43:30.102014 epoch 241: loss: 0.00830 | coarse loss: 0.02119
2022-10-24 18:43:48.446061 epoch 242: loss: 0.00806 | coarse loss: 0.02117
2022-10-24 18:44:06.825468 epoch 243: loss: 0.00805 | coarse loss: 0.02117
2022-10-24 18:44:25.252497 epoch 244: loss: 0.00805 | coarse loss: 0.02118
2022-10-24 18:44:43.775136 epoch 245: loss: 0.00798 | coarse loss: 0.02119
2022-10-24 18:45:02.219091 epoch 246: loss: 0.00805 | coarse loss: 0.02115
2022-10-24 18:45:20.547827 epoch 247: loss: 0.00805 | coarse loss: 0.02119
2022-10-24 18:45:38.977773 epoch 248: loss: 0.00824 | coarse loss: 0.02118
2022-10-24 18:45:57.307688 epoch 249: loss: 0.00804 | coarse loss: 0.02120
2022-10-24 18:46:15.685108 epoch 250: loss: 0.00808 | coarse loss: 0.02121
2022-10-24 18:46:33.982954 epoch 251: loss: 0.00807 | coarse loss: 0.02119
2022-10-24 18:46:52.440182 epoch 252: loss: 0.00795 | coarse loss: 0.02114
2022-10-24 18:47:10.822561 epoch 253: loss: 0.00798 | coarse loss: 0.02116
2022-10-24 18:47:29.158753 epoch 254: loss: 0.00796 | coarse loss: 0.02115
2022-10-24 18:47:47.492991 epoch 255: loss: 0.00804 | coarse loss: 0.02114
2022-10-24 18:48:05.908213 epoch 256: loss: 0.00850 | coarse loss: 0.02112
2022-10-24 18:48:24.302884 epoch 257: loss: 0.00804 | coarse loss: 0.02117
2022-10-24 18:48:42.669703 epoch 258: loss: 0.00797 | coarse loss: 0.02117
2022-10-24 18:49:01.374983 epoch 259: loss: 0.00818 | coarse loss: 0.02119
2022-10-24 18:49:19.948773 epoch 260: loss: 0.00802 | coarse loss: 0.02124
2022-10-24 18:49:38.634536 epoch 261: loss: 0.00802 | coarse loss: 0.02123
2022-10-24 18:49:57.183736 epoch 262: loss: 0.00795 | coarse loss: 0.02113
2022-10-24 18:50:15.613137 epoch 263: loss: 0.00793 | coarse loss: 0.02120
2022-10-24 18:50:34.090119 epoch 264: loss: 0.00803 | coarse loss: 0.02119
2022-10-24 18:50:52.917166 epoch 265: loss: 0.00793 | coarse loss: 0.02116
2022-10-24 18:51:11.472252 epoch 266: loss: 0.00819 | coarse loss: 0.02115
2022-10-24 18:51:29.935875 epoch 267: loss: 0.00790 | coarse loss: 0.02116
2022-10-24 18:51:48.420561 epoch 268: loss: 0.00786 | coarse loss: 0.02112
2022-10-24 18:52:07.201238 epoch 269: loss: 0.00791 | coarse loss: 0.02117
2022-10-24 18:52:25.773555 epoch 270: loss: 0.00787 | coarse loss: 0.02115
2022-10-24 18:52:44.384801 epoch 271: loss: 0.00791 | coarse loss: 0.02118
2022-10-24 18:53:02.934312 epoch 272: loss: 0.00796 | coarse loss: 0.02118
2022-10-24 18:53:21.547925 epoch 273: loss: 0.00804 | coarse loss: 0.02114
2022-10-24 18:53:40.080383 epoch 274: loss: 0.00796 | coarse loss: 0.02120
2022-10-24 18:53:58.659360 epoch 275: loss: 0.00789 | coarse loss: 0.02121
2022-10-24 18:54:17.268298 epoch 276: loss: 0.00786 | coarse loss: 0.02123
2022-10-24 18:54:35.759512 epoch 277: loss: 0.00793 | coarse loss: 0.02122
2022-10-24 18:54:54.357588 epoch 278: loss: 0.00788 | coarse loss: 0.02116
2022-10-24 18:55:12.940750 epoch 279: loss: 0.00792 | coarse loss: 0.02118
2022-10-24 18:55:31.443501 epoch 280: loss: 0.00792 | coarse loss: 0.02119
2022-10-24 18:55:50.136723 epoch 281: loss: 0.00782 | coarse loss: 0.02114
2022-10-24 18:56:08.768106 epoch 282: loss: 0.00789 | coarse loss: 0.02120
2022-10-24 18:56:27.275696 epoch 283: loss: 0.00785 | coarse loss: 0.02112
2022-10-24 18:56:45.914711 epoch 284: loss: 0.00792 | coarse loss: 0.02119
2022-10-24 18:57:04.466045 epoch 285: loss: 0.00782 | coarse loss: 0.02117
2022-10-24 18:57:22.823736 epoch 286: loss: 0.00783 | coarse loss: 0.02117
2022-10-24 18:57:41.629266 epoch 287: loss: 0.00793 | coarse loss: 0.02114
2022-10-24 18:58:00.213236 epoch 288: loss: 0.00786 | coarse loss: 0.02121
2022-10-24 18:58:18.795055 epoch 289: loss: 0.00797 | coarse loss: 0.02117
2022-10-24 18:58:37.229745 epoch 290: loss: 0.00797 | coarse loss: 0.02117
