/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-101.maverick2.tacc.utexas.edu
Tue Oct 25 11:35:09 CDT 2022
start training unet 256
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-25 11:36:59.628483 epoch 1: loss: 0.01214 | coarse loss: 0.00435
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-25 13:11:32.657842 epoch 129: loss: 0.00194 | coarse loss: 0.00436
2022-10-25 13:12:17.017388 epoch 130: loss: 0.00209 | coarse loss: 0.00435
2022-10-25 13:13:01.535707 epoch 131: loss: 0.00191 | coarse loss: 0.00435
2022-10-25 13:13:46.455788 epoch 132: loss: 0.00193 | coarse loss: 0.00435
2022-10-25 13:14:31.363662 epoch 133: loss: 0.00189 | coarse loss: 0.00435
2022-10-25 13:15:15.933294 epoch 134: loss: 0.00192 | coarse loss: 0.00435
2022-10-25 13:16:00.519378 epoch 135: loss: 0.00190 | coarse loss: 0.00435
2022-10-25 13:16:44.868380 epoch 136: loss: 0.00191 | coarse loss: 0.00435
2022-10-25 13:17:29.272238 epoch 137: loss: 0.00194 | coarse loss: 0.00435
2022-10-25 13:18:14.025652 epoch 138: loss: 0.00190 | coarse loss: 0.00435
2022-10-25 13:18:58.204415 epoch 139: loss: 0.00259 | coarse loss: 0.00435
2022-10-25 13:19:42.262091 epoch 140: loss: 0.00204 | coarse loss: 0.00435
2022-10-25 13:20:26.774822 epoch 141: loss: 0.00195 | coarse loss: 0.00435
2022-10-25 13:21:11.226881 epoch 142: loss: 0.00190 | coarse loss: 0.00435
2022-10-25 13:21:56.034137 epoch 143: loss: 0.00189 | coarse loss: 0.00435
2022-10-25 13:22:40.135190 epoch 144: loss: 0.00189 | coarse loss: 0.00435
