/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-103.maverick2.tacc.utexas.edu
Mon Oct 24 07:18:48 CDT 2022
start training unet 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-24 07:19:31.750094 epoch 1: loss: 0.03716 | coarse loss: 0.02121
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 07:46:51.943699 epoch 134: loss: 0.00966 | coarse loss: 0.02118
2022-10-24 07:47:04.225582 epoch 135: loss: 0.00977 | coarse loss: 0.02114
2022-10-24 07:47:16.636185 epoch 136: loss: 0.00985 | coarse loss: 0.02114
2022-10-24 07:47:28.928594 epoch 137: loss: 0.00961 | coarse loss: 0.02112
2022-10-24 07:47:41.247874 epoch 138: loss: 0.01006 | coarse loss: 0.02120
2022-10-24 07:47:53.557300 epoch 139: loss: 0.00982 | coarse loss: 0.02115
2022-10-24 07:48:05.848890 epoch 140: loss: 0.00974 | coarse loss: 0.02123
2022-10-24 07:48:18.237771 epoch 141: loss: 0.00969 | coarse loss: 0.02119
2022-10-24 07:48:30.573251 epoch 142: loss: 0.00963 | coarse loss: 0.02114
2022-10-24 07:48:42.811254 epoch 143: loss: 0.00975 | coarse loss: 0.02115
2022-10-24 07:48:55.120052 epoch 144: loss: 0.00978 | coarse loss: 0.02122
2022-10-24 07:49:07.547012 epoch 145: loss: 0.01095 | coarse loss: 0.02117
2022-10-24 07:49:19.813738 epoch 146: loss: 0.01002 | coarse loss: 0.02118
2022-10-24 07:49:32.087373 epoch 147: loss: 0.00980 | coarse loss: 0.02120
2022-10-24 07:49:44.369497 epoch 148: loss: 0.00973 | coarse loss: 0.02116
2022-10-24 07:49:56.672229 epoch 149: loss: 0.00974 | coarse loss: 0.02115
2022-10-24 07:50:09.032724 epoch 150: loss: 0.00969 | coarse loss: 0.02116
2022-10-24 07:50:21.444123 epoch 151: loss: 0.00954 | coarse loss: 0.02114
2022-10-24 07:50:33.761919 epoch 152: loss: 0.00977 | coarse loss: 0.02117
2022-10-24 07:50:46.100673 epoch 153: loss: 0.01027 | coarse loss: 0.02113
2022-10-24 07:50:58.381543 epoch 154: loss: 0.00995 | coarse loss: 0.02112
2022-10-24 07:51:10.707980 epoch 155: loss: 0.00970 | coarse loss: 0.02120
2022-10-24 07:51:23.046111 epoch 156: loss: 0.00971 | coarse loss: 0.02125
2022-10-24 07:51:35.263497 epoch 157: loss: 0.00974 | coarse loss: 0.02122
2022-10-24 07:51:47.598816 epoch 158: loss: 0.00970 | coarse loss: 0.02117
2022-10-24 07:51:59.825971 epoch 159: loss: 0.00965 | coarse loss: 0.02124
2022-10-24 07:52:12.244390 epoch 160: loss: 0.00961 | coarse loss: 0.02118
2022-10-24 07:52:24.665088 epoch 161: loss: 0.01013 | coarse loss: 0.02117
2022-10-24 07:52:37.001832 epoch 162: loss: 0.00977 | coarse loss: 0.02125
2022-10-24 07:52:49.285627 epoch 163: loss: 0.00977 | coarse loss: 0.02118
2022-10-24 07:53:01.630444 epoch 164: loss: 0.01045 | coarse loss: 0.02118
2022-10-24 07:53:13.859408 epoch 165: loss: 0.00991 | coarse loss: 0.02118
2022-10-24 07:53:26.127511 epoch 166: loss: 0.00960 | coarse loss: 0.02122
2022-10-24 07:53:38.391659 epoch 167: loss: 0.00962 | coarse loss: 0.02117
2022-10-24 07:53:50.712909 epoch 168: loss: 0.00962 | coarse loss: 0.02115
2022-10-24 07:54:03.084365 epoch 169: loss: 0.00958 | coarse loss: 0.02116
2022-10-24 07:54:15.426503 epoch 170: loss: 0.00960 | coarse loss: 0.02114
2022-10-24 07:54:27.739242 epoch 171: loss: 0.00955 | coarse loss: 0.02121
2022-10-24 07:54:40.153312 epoch 172: loss: 0.00993 | coarse loss: 0.02116
2022-10-24 07:54:52.435032 epoch 173: loss: 0.00964 | coarse loss: 0.02120
2022-10-24 07:55:04.733181 epoch 174: loss: 0.00962 | coarse loss: 0.02115
2022-10-24 07:55:17.088717 epoch 175: loss: 0.00960 | coarse loss: 0.02116
2022-10-24 07:55:29.445169 epoch 176: loss: 0.00957 | coarse loss: 0.02120
2022-10-24 07:55:41.844888 epoch 177: loss: 0.00948 | coarse loss: 0.02117
2022-10-24 07:55:54.063458 epoch 178: loss: 0.00952 | coarse loss: 0.02114
2022-10-24 07:56:06.390552 epoch 179: loss: 0.00954 | coarse loss: 0.02118
2022-10-24 07:56:18.582036 epoch 180: loss: 0.00968 | coarse loss: 0.02125
2022-10-24 07:56:30.734391 epoch 181: loss: 0.00958 | coarse loss: 0.02122
2022-10-24 07:56:42.919227 epoch 182: loss: 0.00955 | coarse loss: 0.02121
2022-10-24 07:56:55.310172 epoch 183: loss: 0.00949 | coarse loss: 0.02121
2022-10-24 07:57:07.559158 epoch 184: loss: 0.00950 | coarse loss: 0.02121
2022-10-24 07:57:19.993309 epoch 185: loss: 0.00952 | coarse loss: 0.02119
2022-10-24 07:57:32.360960 epoch 186: loss: 0.00953 | coarse loss: 0.02117
2022-10-24 07:57:44.603078 epoch 187: loss: 0.01046 | coarse loss: 0.02118
2022-10-24 07:57:56.782536 epoch 188: loss: 0.00985 | coarse loss: 0.02112
2022-10-24 07:58:09.131491 epoch 189: loss: 0.00957 | coarse loss: 0.02117
2022-10-24 07:58:21.587915 epoch 190: loss: 0.00953 | coarse loss: 0.02116
2022-10-24 07:58:34.003547 epoch 191: loss: 0.00978 | coarse loss: 0.02121
2022-10-24 07:58:46.374152 epoch 192: loss: 0.00955 | coarse loss: 0.02120
2022-10-24 07:58:58.765773 epoch 193: loss: 0.00953 | coarse loss: 0.02126
2022-10-24 07:59:11.254384 epoch 194: loss: 0.00948 | coarse loss: 0.02111
2022-10-24 07:59:23.503230 epoch 195: loss: 0.01037 | coarse loss: 0.02119
2022-10-24 07:59:35.816801 epoch 196: loss: 0.00964 | coarse loss: 0.02117
2022-10-24 07:59:48.158421 epoch 197: loss: 0.00962 | coarse loss: 0.02130
2022-10-24 08:00:00.409550 epoch 198: loss: 0.00957 | coarse loss: 0.02115
2022-10-24 08:00:12.683366 epoch 199: loss: 0.00952 | coarse loss: 0.02115
2022-10-24 08:00:24.942245 epoch 200: loss: 0.00946 | coarse loss: 0.02115
2022-10-24 08:00:37.126047 epoch 201: loss: 0.00952 | coarse loss: 0.02116
2022-10-24 08:00:49.453685 epoch 202: loss: 0.01006 | coarse loss: 0.02116
2022-10-24 08:01:01.795696 epoch 203: loss: 0.00945 | coarse loss: 0.02114
2022-10-24 08:01:14.141454 epoch 204: loss: 0.00950 | coarse loss: 0.02120
2022-10-24 08:01:26.473230 epoch 205: loss: 0.00947 | coarse loss: 0.02115
2022-10-24 08:01:38.802130 epoch 206: loss: 0.00950 | coarse loss: 0.02116
2022-10-24 08:01:51.106817 epoch 207: loss: 0.00968 | coarse loss: 0.02124
2022-10-24 08:02:03.488144 epoch 208: loss: 0.00964 | coarse loss: 0.02124
2022-10-24 08:02:15.789313 epoch 209: loss: 0.00960 | coarse loss: 0.02118
2022-10-24 08:02:28.118235 epoch 210: loss: 0.00942 | coarse loss: 0.02118
2022-10-24 08:02:40.347872 epoch 211: loss: 0.00937 | coarse loss: 0.02120
2022-10-24 08:02:52.652591 epoch 212: loss: 0.00943 | coarse loss: 0.02114
2022-10-24 08:03:05.026585 epoch 213: loss: 0.00983 | coarse loss: 0.02117
2022-10-24 08:03:17.485531 epoch 214: loss: 0.00952 | coarse loss: 0.02116
2022-10-24 08:03:29.898132 epoch 215: loss: 0.00947 | coarse loss: 0.02116
2022-10-24 08:03:42.406040 epoch 216: loss: 0.00943 | coarse loss: 0.02118
2022-10-24 08:03:54.860568 epoch 217: loss: 0.00941 | coarse loss: 0.02120
2022-10-24 08:04:07.148492 epoch 218: loss: 0.00942 | coarse loss: 0.02113
2022-10-24 08:04:19.481154 epoch 219: loss: 0.00962 | coarse loss: 0.02117
2022-10-24 08:04:31.798597 epoch 220: loss: 0.00947 | coarse loss: 0.02120
2022-10-24 08:04:44.091516 epoch 221: loss: 0.01009 | coarse loss: 0.02114
2022-10-24 08:04:56.366881 epoch 222: loss: 0.00947 | coarse loss: 0.02124
2022-10-24 08:05:08.597089 epoch 223: loss: 0.00943 | coarse loss: 0.02119
2022-10-24 08:05:20.905821 epoch 224: loss: 0.00939 | coarse loss: 0.02115
2022-10-24 08:05:33.207183 epoch 225: loss: 0.00939 | coarse loss: 0.02120
2022-10-24 08:05:45.493668 epoch 226: loss: 0.00947 | coarse loss: 0.02129
2022-10-24 08:05:57.859340 epoch 227: loss: 0.00944 | coarse loss: 0.02112
2022-10-24 08:06:10.170359 epoch 228: loss: 0.00949 | coarse loss: 0.02110
2022-10-24 08:06:22.559081 epoch 229: loss: 0.00940 | coarse loss: 0.02123
2022-10-24 08:06:34.987064 epoch 230: loss: 0.00936 | coarse loss: 0.02114
2022-10-24 08:06:47.276275 epoch 231: loss: 0.00940 | coarse loss: 0.02120
2022-10-24 08:06:59.543493 epoch 232: loss: 0.00942 | coarse loss: 0.02112
2022-10-24 08:07:11.876763 epoch 233: loss: 0.00933 | coarse loss: 0.02118
2022-10-24 08:07:24.377922 epoch 234: loss: 0.00937 | coarse loss: 0.02117
2022-10-24 08:07:36.818018 epoch 235: loss: 0.00932 | coarse loss: 0.02117
2022-10-24 08:07:49.090931 epoch 236: loss: 0.00995 | coarse loss: 0.02119
2022-10-24 08:08:01.409672 epoch 237: loss: 0.00945 | coarse loss: 0.02117
2022-10-24 08:08:13.908012 epoch 238: loss: 0.00931 | coarse loss: 0.02110
2022-10-24 08:08:26.273487 epoch 239: loss: 0.00932 | coarse loss: 0.02118
2022-10-24 08:08:38.511210 epoch 240: loss: 0.00938 | coarse loss: 0.02113
2022-10-24 08:08:50.960148 epoch 241: loss: 0.00940 | coarse loss: 0.02120
2022-10-24 08:09:03.420576 epoch 242: loss: 0.00934 | coarse loss: 0.02122
2022-10-24 08:09:15.771455 epoch 243: loss: 0.00946 | coarse loss: 0.02126
2022-10-24 08:09:28.289595 epoch 244: loss: 0.00959 | coarse loss: 0.02115
2022-10-24 08:09:40.704652 epoch 245: loss: 0.00938 | coarse loss: 0.02115
2022-10-24 08:09:53.058438 epoch 246: loss: 0.00951 | coarse loss: 0.02116
2022-10-24 08:10:05.435028 epoch 247: loss: 0.00970 | coarse loss: 0.02113
2022-10-24 08:10:17.791230 epoch 248: loss: 0.00974 | coarse loss: 0.02119
2022-10-24 08:10:30.339672 epoch 249: loss: 0.00939 | coarse loss: 0.02121
2022-10-24 08:10:42.616760 epoch 250: loss: 0.00931 | coarse loss: 0.02115
2022-10-24 08:10:54.832258 epoch 251: loss: 0.00935 | coarse loss: 0.02123
2022-10-24 08:11:07.374033 epoch 252: loss: 0.00990 | coarse loss: 0.02119
2022-10-24 08:11:19.633375 epoch 253: loss: 0.00934 | coarse loss: 0.02120
2022-10-24 08:11:31.872422 epoch 254: loss: 0.00934 | coarse loss: 0.02117
2022-10-24 08:11:44.461364 epoch 255: loss: 0.00933 | coarse loss: 0.02118
2022-10-24 08:11:56.782811 epoch 256: loss: 0.00925 | coarse loss: 0.02121
2022-10-24 08:12:09.064165 epoch 257: loss: 0.00980 | coarse loss: 0.02128
2022-10-24 08:12:21.346611 epoch 258: loss: 0.00947 | coarse loss: 0.02118
2022-10-24 08:12:33.757131 epoch 259: loss: 0.00926 | coarse loss: 0.02117
2022-10-24 08:12:46.067626 epoch 260: loss: 0.00930 | coarse loss: 0.02120
2022-10-24 08:12:58.370838 epoch 261: loss: 0.00943 | coarse loss: 0.02119
2022-10-24 08:13:10.585781 epoch 262: loss: 0.00921 | coarse loss: 0.02116
2022-10-24 08:13:22.982691 epoch 263: loss: 0.00922 | coarse loss: 0.02117
2022-10-24 08:13:35.309778 epoch 264: loss: 0.00924 | coarse loss: 0.02113
2022-10-24 08:13:47.659145 epoch 265: loss: 0.00924 | coarse loss: 0.02119
2022-10-24 08:14:00.000952 epoch 266: loss: 0.00965 | coarse loss: 0.02113
2022-10-24 08:14:12.314796 epoch 267: loss: 0.00939 | coarse loss: 0.02115
2022-10-24 08:14:24.626062 epoch 268: loss: 0.00924 | coarse loss: 0.02118
2022-10-24 08:14:36.856965 epoch 269: loss: 0.00920 | coarse loss: 0.02120
