/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Fri Sep 16 00:02:39 CDT 2022
start training tiramisu
gpu available: True
setting up data
2022-09-16 12:10:21.174462 epoch 106: loss: 0.00748 | coarse loss: 0.02796 
2022-09-16 12:17:12.610268 epoch 107: loss: 0.00745 | coarse loss: 0.02796 
2022-09-16 12:24:04.012534 epoch 108: loss: 0.00743 | coarse loss: 0.02796 
2022-09-16 12:30:55.793502 epoch 109: loss: 0.00742 | coarse loss: 0.02796 
2022-09-16 12:37:47.205959 epoch 110: loss: 0.00744 | coarse loss: 0.02796 
2022-09-16 12:44:38.839050 epoch 111: loss: 0.00742 | coarse loss: 0.02796 
2022-09-16 12:51:30.261355 epoch 112: loss: 0.00742 | coarse loss: 0.02796 
2022-09-16 12:58:21.911486 epoch 113: loss: 0.00743 | coarse loss: 0.02796 
2022-09-16 13:05:13.563357 epoch 114: loss: 0.00738 | coarse loss: 0.02796 
2022-09-16 13:12:05.057624 epoch 115: loss: 0.00740 | coarse loss: 0.02796 
2022-09-16 13:18:56.521229 epoch 116: loss: 0.00737 | coarse loss: 0.02796 
2022-09-16 13:25:47.963569 epoch 117: loss: 0.00736 | coarse loss: 0.02796 
2022-09-16 13:32:39.388903 epoch 118: loss: 0.00737 | coarse loss: 0.02796 
2022-09-16 13:39:30.807426 epoch 119: loss: 0.00733 | coarse loss: 0.02796 
2022-09-16 13:46:22.533211 epoch 120: loss: 0.00731 | coarse loss: 0.02796 
2022-09-16 13:53:14.006294 epoch 121: loss: 0.00732 | coarse loss: 0.02796 
2022-09-16 14:00:05.352647 epoch 122: loss: 0.00733 | coarse loss: 0.02796 
2022-09-16 14:06:56.952611 epoch 123: loss: 0.00730 | coarse loss: 0.02796 
2022-09-16 14:13:48.373097 epoch 124: loss: 0.00729 | coarse loss: 0.02796 
2022-09-16 14:20:39.859840 epoch 125: loss: 0.00724 | coarse loss: 0.02796 
2022-09-16 14:27:31.265129 epoch 126: loss: 0.00732 | coarse loss: 0.02796 
2022-09-16 14:34:22.623994 epoch 127: loss: 0.00724 | coarse loss: 0.02796 
2022-09-16 14:41:14.355819 epoch 128: loss: 0.00724 | coarse loss: 0.02796 
2022-09-16 14:48:05.714425 epoch 129: loss: 0.00732 | coarse loss: 0.02796 
2022-09-16 14:54:56.948813 epoch 130: loss: 0.00731 | coarse loss: 0.02796 
2022-09-16 15:01:48.250359 epoch 131: loss: 0.00726 | coarse loss: 0.02796 
2022-09-16 15:08:39.637043 epoch 132: loss: 0.00725 | coarse loss: 0.02796 
2022-09-16 15:15:31.097628 epoch 133: loss: 0.00722 | coarse loss: 0.02796 
2022-09-16 15:22:22.397510 epoch 134: loss: 0.00726 | coarse loss: 0.02796 
2022-09-16 15:29:13.929652 epoch 135: loss: 0.00721 | coarse loss: 0.02796 
2022-09-16 15:36:05.249331 epoch 136: loss: 0.00721 | coarse loss: 0.02796 
2022-09-16 15:42:56.687188 epoch 137: loss: 0.00720 | coarse loss: 0.02796 
2022-09-16 15:49:48.036772 epoch 138: loss: 0.00722 | coarse loss: 0.02796 
2022-09-16 15:56:39.318901 epoch 139: loss: 0.00721 | coarse loss: 0.02796 
2022-09-16 16:03:30.773262 epoch 140: loss: 0.00719 | coarse loss: 0.02796 
2022-09-16 16:10:21.989231 epoch 141: loss: 0.00719 | coarse loss: 0.02796 
2022-09-16 16:17:13.598832 epoch 142: loss: 0.00712 | coarse loss: 0.02796 
2022-09-16 16:24:05.152676 epoch 143: loss: 0.00716 | coarse loss: 0.02796 
2022-09-16 16:30:56.413184 epoch 144: loss: 0.00714 | coarse loss: 0.02796 
2022-09-16 16:37:48.091147 epoch 145: loss: 0.00715 | coarse loss: 0.02796 
2022-09-16 16:44:39.323278 epoch 146: loss: 0.00719 | coarse loss: 0.02796 
2022-09-16 16:51:30.678386 epoch 147: loss: 0.00712 | coarse loss: 0.02796 
2022-09-16 16:58:21.936604 epoch 148: loss: 0.00715 | coarse loss: 0.02796 
2022-09-16 17:05:13.146987 epoch 149: loss: 0.00715 | coarse loss: 0.02796 
2022-09-16 17:12:04.373656 epoch 150: loss: 0.00709 | coarse loss: 0.02796 
2022-09-16 17:18:55.950491 epoch 151: loss: 0.00709 | coarse loss: 0.02796 
2022-09-16 17:25:47.541617 epoch 152: loss: 0.00709 | coarse loss: 0.02796 
2022-09-16 17:32:39.182457 epoch 153: loss: 0.00710 | coarse loss: 0.02796 
2022-09-16 17:39:30.443133 epoch 154: loss: 0.00708 | coarse loss: 0.02796 
2022-09-16 17:46:21.967038 epoch 155: loss: 0.00705 | coarse loss: 0.02796 
2022-09-16 17:53:13.466035 epoch 156: loss: 0.00706 | coarse loss: 0.02796 
2022-09-16 18:00:04.739986 epoch 157: loss: 0.00709 | coarse loss: 0.02796 
2022-09-16 18:06:56.318977 epoch 158: loss: 0.00708 | coarse loss: 0.02796 
2022-09-16 18:13:47.849886 epoch 159: loss: 0.00704 | coarse loss: 0.02796 
2022-09-16 18:20:39.677691 epoch 160: loss: 0.00706 | coarse loss: 0.02796 
2022-09-16 18:27:30.987006 epoch 161: loss: 0.00703 | coarse loss: 0.02796 
2022-09-16 18:34:22.641494 epoch 162: loss: 0.00705 | coarse loss: 0.02796 
2022-09-16 18:41:14.176857 epoch 163: loss: 0.00705 | coarse loss: 0.02796 
2022-09-16 18:48:05.546064 epoch 164: loss: 0.00701 | coarse loss: 0.02796 
2022-09-16 18:54:57.272320 epoch 165: loss: 0.00705 | coarse loss: 0.02796 
2022-09-16 19:01:48.534633 epoch 166: loss: 0.00701 | coarse loss: 0.02796 
2022-09-16 19:08:40.057615 epoch 167: loss: 0.00699 | coarse loss: 0.02796 
2022-09-16 19:15:31.707998 epoch 168: loss: 0.00697 | coarse loss: 0.02796 
2022-09-16 19:22:22.959386 epoch 169: loss: 0.00698 | coarse loss: 0.02796 
2022-09-16 19:29:14.205925 epoch 170: loss: 0.00701 | coarse loss: 0.02796 
